"ID","ID","ID","ID",Name,Status,Started,Completed,Priority,Start,Due,Assignee,Tag,Created,Created by,Description
#45,,,,Planning,To-Do,,,Medium,4 Apr 2022,12 Jun 2022,,,9 May 2022,Garv Shah,
,#9,,,Project Planning,Completed,28 Apr 2022,29 Apr 2022,Medium,4 Apr 2022,29 Apr 2022,Garv Shah,,28 Apr 2022,Garv Shah,
,,#3,,Write proposal,Completed,,28 Apr 2022,Medium,4 Apr 2022,5 Apr 2022,Garv Shah,,27 Apr 2022,Garv Shah,
,,#4,,Learn about Gantt Charts,Completed,,28 Apr 2022,Medium,5 Apr 2022,6 Apr 2022,Garv Shah,,27 Apr 2022,Garv Shah,
,,#5,,Do example Gantt Chart,Completed,,28 Apr 2022,Medium,6 Apr 2022,8 Apr 2022,Garv Shah,,27 Apr 2022,Garv Shah,
,,#6,,Create Gantt Chart,Completed,28 Apr 2022,28 Apr 2022,Medium,27 Apr 2022,29 Apr 2022,Garv Shah,,27 Apr 2022,Garv Shah,
,,#7,,Create blog for ideas,Completed,29 Apr 2022,29 Apr 2022,Medium,27 Apr 2022,29 Apr 2022,Garv Shah,,27 Apr 2022,Garv Shah,
,#35,,,Development Model,Completed,,9 May 2022,Medium,3 May 2022,5 May 2022,Garv Shah,,29 Apr 2022,Garv Shah,
,,#36,,Learn about development models,Completed,,8 May 2022,Medium,3 May 2022,3 May 2022,Garv Shah,,29 Apr 2022,Garv Shah,
,,#37,,List features of selected development model,Completed,,8 May 2022,Medium,3 May 2022,4 May 2022,Garv Shah,,29 Apr 2022,Garv Shah,
,,#38,,Justify selected development model,Completed,,8 May 2022,Medium,4 May 2022,5 May 2022,Garv Shah,,29 Apr 2022,Garv Shah,
,,#39,,Update project plan to reflect development model,Completed,8 May 2022,9 May 2022,Medium,4 May 2022,5 May 2022,Garv Shah,,29 Apr 2022,Garv Shah,
,#10,,,Data Collection,To-Do,,,Medium,2 May 2022,13 May 2022,Garv Shah,,28 Apr 2022,Garv Shah,
,,#11,,Interview Maths Club Team,Completed,,8 May 2022,Medium,2 May 2022,2 May 2022,Garv Shah,,28 Apr 2022,Garv Shah,
,,#12,,Interview Mr. McCarty,Completed,,8 May 2022,Medium,3 May 2022,4 May 2022,Garv Shah,,28 Apr 2022,Garv Shah,
,,#13,,Survey Maths Club Participants,Completed,8 May 2022,9 May 2022,Medium,5 May 2022,6 May 2022,Garv Shah,,28 Apr 2022,Garv Shah,
,,#14,,Make observations on pros and cons,To-Do,,,Medium,9 May 2022,10 May 2022,Garv Shah,,28 Apr 2022,Garv Shah,
,,#15,,Write summary document,To-Do,,,Medium,11 May 2022,13 May 2022,Garv Shah,,28 Apr 2022,Garv Shah,
,#17,,,SRS,To-Do,,,Medium,14 May 2022,3 Jun 2022,Garv Shah,,28 Apr 2022,Garv Shah,
,,#18,,Outline scope,To-Do,,,Medium,14 May 2022,16 May 2022,Garv Shah,,28 Apr 2022,Garv Shah,
,,#19,,Outline constraints,To-Do,,,Medium,17 May 2022,18 May 2022,Garv Shah,,28 Apr 2022,Garv Shah,
,,#20,,Outline stack,To-Do,,,Medium,19 May 2022,20 May 2022,Garv Shah,,28 Apr 2022,Garv Shah,
,,#21,,Complete SRS document,To-Do,,,Medium,21 May 2022,26 May 2022,Garv Shah,,28 Apr 2022,Garv Shah,
,,,#40,Functional + Non-Functional Requirements,To-Do,,,Medium,23 May 2022,23 May 2022,Garv Shah,,29 Apr 2022,Garv Shah,
